ISim log file
Running: D:\ISEdocuments\mips\mips_txt_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb D:/ISEdocuments/mips/mips_txt_isim_beh.wdb 
ISim P.20131013 (signature 0x8ef4fb42)
----------------------------------------------------------------------
WARNING:Security:42 - Your software subscription period has lapsed. Your current version of Xilinx tools will continue to function, but you no longer qualify for Xilinx software updates or new releases.


----------------------------------------------------------------------
This is a Full version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 20000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
                  38@00003000: $ 9 <= 00001234
                  42@00003004: $10 <= 00005678
                  46@00003008: $16 <= 0000300c
                  66@00004180: $26 <= 0000300c
                  70@00004184: $27 <= 00000028
                  74@00004188: $16 <= 00003010
                  94@00003010: $17 <= 00000001
                 114@00004180: $26 <= 00003014
                 118@00004184: $27 <= 00000028
                 122@00004188: $16 <= 00003014
                 158@00004180: $26 <= 00003014
                 162@00004184: $27 <= 00000028
                 166@00004188: $16 <= 00003018
                 186@00003018: $17 <= 00000002
                 206@00004180: $26 <= 0000301c
                 210@00004184: $27 <= 00000028
                 214@00004188: $16 <= 0000301c
                 250@00004180: $26 <= 0000301c
                 254@00004184: $27 <= 00000028
                 258@00004188: $16 <= 00003020
                 278@00003020: $17 <= 00000003
                 298@00004180: $26 <= 00003024
                 302@00004184: $27 <= 00000028
                 306@00004188: $16 <= 00003024
                 342@00004180: $26 <= 00003024
                 346@00004184: $27 <= 00000028
                 350@00004188: $16 <= 00003028
                 370@00003028: $17 <= 00000004
                 390@00004180: $26 <= 0000302c
                 394@00004184: $27 <= 00000028
                 398@00004188: $16 <= 0000302c
                 434@00004180: $26 <= 0000302c
                 438@00004184: $27 <= 00000028
                 442@00004188: $16 <= 00003030
                 462@00003030: $17 <= 00000005
                 482@00004180: $26 <= 00003034
                 486@00004184: $27 <= 00000028
                 490@00004188: $16 <= 00003034
                 526@00004180: $26 <= 00003034
                 530@00004184: $27 <= 00000028
                 534@00004188: $16 <= 00003038
                 554@00003038: $17 <= 00000006
                 574@00004180: $26 <= 0000303c
                 578@00004184: $27 <= 00000028
                 582@00004188: $16 <= 0000303c
                 618@00004180: $26 <= 0000303c
                 622@00004184: $27 <= 00000028
                 626@00004188: $16 <= 00003040
                 646@00003040: $17 <= 00000007
                 666@00004180: $26 <= 00003044
                 670@00004184: $27 <= 00000028
                 674@00004188: $16 <= 00003044
                 710@00004180: $26 <= 00003044
                 714@00004184: $27 <= 00000028
                 718@00004188: $16 <= 00003048
                 738@00003048: $17 <= 00000008
                 758@00004180: $26 <= 0000304c
                 762@00004184: $27 <= 00000028
                 766@00004188: $16 <= 0000304c
                 802@00004180: $26 <= 0000304c
                 806@00004184: $27 <= 00000028
                 810@00004188: $16 <= 00003050
                 830@00003050: $17 <= 00000009
